,caption
0,a face with a bank note showing instead of a tongue and dollar signs instead of eyes
1,expresses genuine happiness and various warm positive feelings
2,this face has raised eyebrows open eyes and open mouth
3,widely used to show something is funny or pleasing
4,expresses anger grumpiness or annoyance at a situation
5,hurt and upset but not crying hysterically
6,face with rolling eyes
7,a bit more of an ‘innocent i’m pretending i didn’t do anything’ whistle especially if combined with the music note
8,disappointed face
9,a distraughtlooking emoji with an open mouth and crescent shaped eyes
10,winking face
11,feeling a sense of relief over a situation or to convey a calm or content state of mind
12,a person with a surgical mask on their face generally used in a hospital setting or when working with dangerous fumes
13,the shame intended to be displayed on this face is not clear in most implementations
14,conveys general happiness and goodnatured amusement
15,expresses a radiant gratified happiness
16,a sad face with a single tear running from one eye down the cheek
17,may be used to display feelings of shock awe or as a visual shorthand for the phrase mind blown
18,tone varies including warm silly amused or proud
19,a face that is a little bit sad with a slight frown and neutral eyes
20,this is used to show disdain contempt or boredom about a person or topic
21,tired face
22,has both eyes closed sticking tongue out
23,moneymouth face
24,a face shown on most platforms with smiling eyes seemingly concealing a laugh
25,part displeased part unsure what to think
26,face vomiting
27,a face with a halo above it used to represent an angel or a good person who has done a good deed
28,smiling face with halo
29,upsidedown face
30,consistently a topten most popular emoji in the late 2010s
31,face with monocle
32,a yellow face with a big grin uplifted eyebrows and smiling eyes each shedding a tear from laughing so hard
33,a yellow face with a broad open smile and scrunchedup eyes forming an x shape
34,this face is a more extreme version of the slightly frowning face
35,tone varies including playful affectionate suggestive or ironic
36,may be used to denote scepticism disbelief or disapproval
37,imagine the things he would say if he had a mouth
38,a face displaying eyes glancing upward indicating an eyeroll
39,confounded face
40,one of the ten most popular emojis between 2014–2018 and was named the oxford dictionaries 2015 word of the year
41,a face displayed sneezing with a tissue blowing to one side and closed eyes
42,kissing face
43,lying face
44,face with symbols on mouth
45,this face has sweat dripping from its brow due to a stressful situation
46,a face displayed with an open hands gesture offering a hug
47,frowning face with open mouth
48,sleepy face
49,a zany face which is excitable and used to represent a certain amount of wackiness
50,a sad face with a frowning mouth and disappointed eyes
51,this might be considered a cheeky emoji although often less so than the cheeky monkey covering its mouth
52,used to show someone who has been injured
53,most platforms display this emoji with wide eyes and raised eyebrows which gives an element of shock or surprise
54,not to be confused with the pensive face which is more remorseful
55,a face with a grin and smiling eyes similar to grinning face with smiling eyes but with a single bead of forehead sweat over its left eye right on whatsapp
56,a face with hearts instead of eyes or heart eyes emoji as it is generally known
57,a look of concern with a blue forehead and sweat dripping down the cheek
58,a face shown with drool dripping from one side of the mouth
59,an emoji form of the  emoticon
60,one of the few smileys to feature a hand or hands
61,a mixture of shock and disappointment
62,face with eyes closed and a sleep symbol – zzz – over the head
63,a face with the mouth wide open which is generally used to represent an element of surprise
64,grimacing face
65,happy but not over the top
66,may be used to describe a fancy situation
67,smiling face with sunglasses
68,face blowing a kiss
69,this emoji is kissing but also looks like a whistling emoji or blowing air
70,face with tongue
71,grinning face with big eyes
72,starstruck
73,face screaming in fear
74,unamused face
75,conveys hysterical laughter intended to be more intense than face with tears of joy
76,a face with pursed lips slightly blushing while making kissing motion
77,may be used to denote scepticism disbelief or disapproval
78,a pouting face outwardly showing displeasure with a person or situation
79,anguished face
80,some platforms display this as a friendly face while others appear more unhinged
81,a smiley face shown wearing a monocle
82,differs only slightly from the smiling face with open mouth emoji by the fact that these eyes are emojistyle smiling eyes instead of tall oval eyes
83,confused face
84,may be on the verge of tears
85,a face with a neutral mouth and single eyebrow raised
86,has inwardfacing eyebrows and a frowning mouth
87,has been likened to the quizzical looks of stephen colbert and also resembles a common expression of the rock
88,a bit more of an ‘innocent i’m pretending i didn’t do anything’ whistle especially if combined with the music note
89,this face is not amused
90,the eyes are distinct in their sideways glance and may be referred to as sideeye
