,caption
0,most platforms display this emoji with wide eyes and raised eyebrows which gives an element of shock or surprise
1,face with headbandage
2,a face displayed sneezing with a tissue blowing to one side and closed eyes
3,a sterotypically nerdlike face with glasses and buck teeth
4,kissing face with closed eyes
5,shown as a yellow smiley with nonhuman appearance
6,face vomiting
7,used to express dissatisfaction
8,smiling face with sunglasses
9,used to indicate a silly happiness
10,tone varies including playful affectionate suggestive or ironic
11,this face is distraught and inconsolable
12,face savoring food
13,covering the mouth indicating that the face is swearing
14,a person with a surgical mask on their face generally used in a hospital setting or when working with dangerous fumes
15,confused face
16,signals a joke flirtation hidden meaning or general positivity
17,a happy and smiling face with big open mouth showing teeth
18,a face featuring a straightandclosed mouth not giving away any particular emotion
19,pleasantly content
20,a face showing a stuckout tongue winking at the same time
21,the apple artwork for this emoji looks like a person yawning
22,on the verge of tears this emoji has tightly closed eyes and a quivering mouth
23,may be used as a request to the lower volume or more commonly to ask for metaphorical silence ie
24,worried face
25,not to be confused with the unamused face which has similar eyes but a displeased mouth
26,pensive face
27,this face is a more extreme version of the slightly frowning face
28,a zany face which is excitable and used to represent a certain amount of wackiness
29,smiling face with smiling eyes
30,starstruck
31,face blowing a kiss
32,a face with a zipper displayed instead of a mouth
33,hugging face
34,grinning face with big eyes
35,more intimate than the regular kissing face emoji due to the eyes being closed
36,this might be considered a cheeky emoji although often less so than the cheeky monkey covering its mouth
37,part displeased part unsure what to think
38,smiling face with halo
39,slightly smiling face
40,face with medical mask
41,a face with pursed lips slightly blushing while making kissing motion
42,fearful face
43,face with hand over mouth
44,has both eyes closed sticking tongue out
45,an exhaustedlooking face with an open mouth and tightly closed eyes
46,a frowning face with an unhappy mouth curving downward
47,shows excitement and expresses hearty laughter
48,may be used as a form of passiveaggression or to convey the notion that this is fine when things are in fact not fine
49,face with a sad mouth and worriedlooking eyebrows
50,may be used as a display of desire in a person object or concept
51,sleepy face
52,an embarrassed face with flushed red cheeks
53,this face has raised eyebrows open eyes and open mouth
54,nauseated face
55,a face with a neutral mouth and single eyebrow raised
56,a face that is a little bit sad with a slight frown and neutral eyes
57,happy but not over the top
58,a face with wide open eyes and raised eyebrows
59,a green face shown with pursed lipsed as though it may be about to vomit
60,a face shown on most platforms with smiling eyes seemingly concealing a laugh
61,saddened by life
62,has been likened to the quizzical looks of stephen colbert and also resembles a common expression of the rock
63,a mixture of shock and disappointment
64,a face with a bank note showing instead of a tongue and dollar signs instead of eyes
65,squinting face with tongue
66,upsidedown face
67,face with rolling eyes
68,an emoji face blowing a kiss usually shown with one eye open and the other eye winking
69,grinning squinting face
70,a face with a halo above it used to represent an angel or a good person who has done a good deed
71,face with open eyes and open mouth
72,a yellow face with a broad open smile and scrunchedup eyes forming an x shape
73,angry face
74,conveys general happiness and goodnatured amusement
75,face with eyes closed and a sleep symbol – zzz – over the head
76,a heart is shown leaving the kissing mouth
77,face with raised eyebrow
78,a bit more of an ‘innocent i’m pretending i didn’t do anything’ whistle especially if combined with the music note
79,grimacing face
80,rolling on the floor laughing
81,represents silence as this emoji is always silent
82,face with thermometer
83,imagine the things he would say if he had a mouth
84,kissing face with smiling eyes
85,an angry looking face
86,also seen in public places primarily in asia to avoid sickness or spreading disease
87,winking face with tongue
88,thinking face
89,kissing face
90,this face has sweat dripping from its brow due to a stressful situation
91,a friendly goofy smile with tongue hanging out the side of the mouth
92,a yellow face with a big grin uplifted eyebrows and smiling eyes each shedding a tear from laughing so hard
93,a bit more of an ‘innocent i’m pretending i didn’t do anything’ whistle especially if combined with the music note
94,this is not a face of sadness it is more of a grumpy displeased look
95,smirking face
96,beaming face with smiling eyes
97,may be metaphorically to emphasise disgust at a person or situation or in a literal sense
98,sad but relieved face
99,a face shown with a thermometer presumed to be feeling sick
100,face screaming in fear
101,slightly frowning face
102,moneymouth face
103,neutral face
104,some versions of this emoji features a tears running down each cheek
105,persevering face
106,used to indicate thinking or deep thought
107,one of the ten most popular emojis between 2014–2018 and was named the oxford dictionaries 2015 word of the year
108,relieved face
109,a face with air coming out of its nose in a proud yet disdainful way
110,smiling face with hearteyes
111,drooling face
112,used as a way of stating i’m kidding or generally being jovial and not serious
113,the shame intended to be displayed on this face is not clear in most implementations
114,a face asking for quiet or silence by raising its index finger over its mouth as if to say shhh or shush
115,a face that is upsidedown often representing a sense of silliness or goofiness
116,used to convey a sudden outburst of anger or frustration
117,downcast face with sweat
118,for the camera
119,a face shown with a single finger and thumb resting on the chin glancing upward
120,may be used to denote scepticism disbelief or disapproval
121,conveys hysterical laughter intended to be more intense than face with tears of joy
122,flushed face
123,widely used to show something is funny or pleasing
124,expresses anger grumpiness or annoyance at a situation
125,used to show someone who has been injured
126,displayed with a furrowed brow on most platforms this emoji is commonly used for mad or angry emotions
127,a face with a grin and smiling eyes similar to grinning face with smiling eyes but with a single bead of forehead sweat over its left eye right on whatsapp
128,frowning face
129,a sly smile often used with a sexual or smug connotation
130,may also be used in the context of the phrase zip it telling a person to stop talking or making noise
131,grinning face with smiling eyes
132,crazy face
133,conveys general pleasure and good cheer or humor
134,winking face
135,differs only slightly from the smiling face with open mouth emoji by the fact that these eyes are emojistyle smiling eyes instead of tall oval eyes
136,face with monocle
137,used to convey a secret or that one will not discuss a certain matter with others aka my lips are sealed
138,grinning face
139,a face that looks more surprised than hushed it has high eyebrows and an open mouth
140,a pensive remorseful face
141,not to be confused with the sad loudly crying face
142,face with raised eyebrow
143,a face with hearts instead of eyes or heart eyes emoji as it is generally known
144,sleeping face
145,a face displaying eyes glancing upward indicating an eyeroll
146,can be paired with a thoughtballoon or a light bulb to indicate an idea and is sometimes used to question the intelligence of a written statement aka throwing shade at a person or concept
147,a face smiling and wearing dark sunglasses that is used to denote a sense of cool
148,this face is not amused
149,may be used to describe a fancy situation
150,pouting face
151,a face with a sad or neutral mouth with a single drop of sweat
152,not to be confused with sleeping face emoji this sleepyface emoji features a snot bubble coming out of the nose
153,or close call
154,this emoji is kissing but also looks like a whistling emoji or blowing air
155,not to be confused with the pensive face which is more remorseful
156,intended to depict nerves or discomfort but commonly used as a means of expressing whew
157,this emoji is kissing but also looks like a whistling emoji or blowing air
158,one of the few smileys to feature a hand or hands
159,this face isn’t sad but is a bit confused and puzzled by the situation
160,displays on snapchat next to contacts who message one another often but who aren’t 1 best friends
161,lying face
162,a face showing a bandage wrapped around the head
163,this is used in anime and manga to indicate that a character is sleeping
164,has inwardfacing eyebrows and a frowning mouth
165,face with symbols on mouth
166,indicates a love of money or a feeling of wealth
167,a sad face with tears streaming down both cheeks
168,a face with a long nose used to indicate the telling of a lie
169,face without mouth
170,face with open mouth
171,crying face
172,a face with grawlixes symbols such as 
173,hurt and upset but not crying hysterically
174,face with steam from nose
175,a pouting face outwardly showing displeasure with a person or situation
176,a yellow face with smiling eyes and fulltoothed grin as if saying cheese
177,can also be used for mock shock as it is less specific than the fearful face used for genuine shock
178,to keep a secret
179,similar to grinning face but with but with taller more excited eyes
180,a yellow face with a slight partially open smile and its left eye winking right on whatsapp
181,this face is blushing due to a mistake or other embarrassing situation
182,the eyes are distinct in their sideways glance and may be referred to as sideeye
183,appears to be shocked by a scary event
184,may be used to display feelings of shock awe or as a visual shorthand for the phrase mind blown
185,quietly considering where things all went wrong
186,a face with a slight smile and neutral eyes
187,disappointed face
188,shushing face
189,face with scrunched up and closed eyes frowning
190,similar to grinning face but with eyes that saysqueeorawesome
191,anguished face
192,expresses a radiant gratified happiness
193,appears to have given up
194,astonished face
195,face with tears of joy
196,some platforms display this as a friendly face while others appear more unhinged
197,grinning face with sweat
198,a grimace emoji showing bared teeth
199,generally used when a mistake or unfavorable situation has arisen – aka eek
200,tired face
201,a yellow face with simple open eyes and a broad open smile showing upper teeth and tongue on some platforms
202,consistently a topten most popular emoji in the late 2010s
203,this is used to show disdain contempt or boredom about a person or topic
204,a yellow face with smiling eyes and a closed smile turning up to rosy cheeks
205,a sad face with a frowning mouth and disappointed eyes
206,a cheeky face sticking its tongue out in jest
207,a face with a neutral mouth and single eyebrow raised
208,confounded face
209,expresses genuine happiness and various warm positive feelings
210,a yellow face with a big grin and scrunched eyes forming an x shape titled on its side as if rolling on the floor laughing the internet acronym rofl
211,used to show helplessness in a situation
212,used in an attempt to be wacky zany or otherwise joking
213,a sad face with a single tear running from one eye down the cheek
214,an excited face showing stars instead of eyes
215,a smiley face shown wearing a monocle
216,wide eyes are shown with an open mouth
217,dizzy face
218,frowning face with open mouth
219,that would be implied when a person wipes sweat from their brow in an exaggerated manner
220,feeling a sense of relief over a situation or to convey a calm or content state of mind
221,unamused face
222,tone varies including warm silly amused or proud
223,may be used to denote scepticism disbelief or disapproval
224,the appearance is similar to the astonished face but with open eyes instead of x eyes
225,a distraughtlooking emoji with an open mouth and crescent shaped eyes
226,hushed face
227,loudly crying face
228,used literally for sickness or as a display of disgust
229,a screaming face with two hands holding the jaw and cheeks in fear
230,may be used for a patient in hospital or for a common cold
231,exploding head
232,an astonished face with a wide open mouth gasping in shock or surprise
233,may be on the verge of tears
234,a dizzy face looking sick or confused from being spun around in circles too many times
235,commonly used for representing frustration at a situation or a being in a huff
236,zippermouth face
237,a smiley shown to be so throwing up green vomit
238,the nerd face emoji is a similar face but with regular glasses
239,a face displayed with an open hands gesture offering a hug
240,face with tongue
241,a face with an explosion taking place in the upper section of the head
242,a face with the mouth wide open which is generally used to represent an element of surprise
243,sometimes used as an ambiguous emotion such as joking or sarcasm
244,an emoji form of the  emoticon
245,weary face
246,nerd face
247,this emoji has eyes and no mouth
248,cowboy hat face
249,generally used instead of the sleepy face emoji to indicate both sleeping and sleepiness
250,often used as excited jazz hands due to the similarity of appearance to this gesture on a number of platforms
251,a face displayed wearing a widebrimmed cowboy hat
252,a look of concern with a blue forehead and sweat dripping down the cheek
253,used as an expression of love for example  i love you or i love this
254,anxious face with sweat
255,sneezing face
256,an emoji form of the  emoticon
257,has been likened to the quizzical looks of stephen colbert and also resembles a common expression of the rock
258,a face shown with drool dripping from one side of the mouth
259,a face with smiling eyes and a broad open smile showing upper teeth and tongue on some platforms
